PERMNO,date,TICKER,RET,vwretd
12641,3/31/2020,AL,-0.418926,-0.141733
12641,4/30/2020,AL,0.18112,0.129674
12641,5/29/2020,AL,0.151434,0.053739
12641,6/30/2020,AL,-0.022252,0.025299
12641,7/31/2020,AL,-0.104814,0.055531
12641,8/31/2020,AL,0.185355,0.068442
12641,9/30/2020,AL,-0.048584,-0.035056
12641,10/30/2020,AL,-0.074099,-0.020178
12641,11/30/2020,AL,0.342511,0.123707
12641,12/31/2020,AL,0.219032,0.045048
12641,1/29/2021,AL,-0.107834,-0.000631
12641,2/26/2021,AL,0.157204,0.029196
12641,3/31/2021,AL,0.071958,0.030573
12641,4/30/2021,AL,-0.046735,0.04819
12641,5/28/2021,AL,0.007493,0.007092
12641,6/30/2021,AL,-0.109647,0.023422
12641,7/30/2021,AL,0.014854,0.011828
12641,8/31/2021,AL,-0.061851,0.027146
12641,9/30/2021,AL,-0.006039,-0.042243
12641,10/29/2021,AL,0.018048,0.064651
12641,11/30/2021,AL,0.013483,-0.01835
12641,12/31/2021,AL,0.094235,0.033341
12641,1/31/2022,AL,-0.099932,-0.059822
12641,2/28/2022,AL,0.048983,-0.021838
12641,3/31/2022,AL,0.073635,0.030506
12641,4/29/2022,AL,-0.097872,-0.089387
12641,5/31/2022,AL,-0.066286,-0.002108
12641,6/30/2022,AL,-0.106222,-0.084
12641,7/29/2022,AL,0.110081,0.090352
12641,8/31/2022,AL,-0.02021,-0.03624
12641,9/30/2022,AL,-0.142052,-0.091324
12641,10/31/2022,AL,0.13802,0.077403
12641,11/30/2022,AL,0.094361,0.052365
12641,12/30/2022,AL,0,-0.057116
13692,1/31/2018,SCM,-0.08118,0.050638
13692,2/28/2018,SCM,-0.034841,-0.039481
13692,3/29/2018,SCM,0.016912,-0.018445
13692,4/30/2018,SCM,0.115838,0.004692
13692,5/31/2018,SCM,0.017541,0.026164
13692,6/29/2018,SCM,0.004151,0.005365
13692,7/31/2018,SCM,0.037817,0.031604
13692,8/31/2018,SCM,0.029148,0.030233
13692,9/28/2018,SCM,0.024836,0.000425
13692,10/31/2018,SCM,-0.0936,-0.074045
13692,11/30/2018,SCM,0.122718,0.018512
13692,12/31/2018,SCM,-0.04228,-0.08989
13692,1/31/2019,SCM,0.120718,0.088294
13692,2/28/2019,SCM,-0.01366,0.032724
13692,3/29/2019,SCM,0.012299,0.012962
13692,4/30/2019,SCM,0.022848,0.037893
13692,5/31/2019,SCM,-0.022751,-0.061679
13692,6/28/2019,SCM,0.001674,0.067279
13692,7/31/2019,SCM,0.058084,0.011854
13692,8/30/2019,SCM,-0.076908,-0.020339
13692,9/30/2019,SCM,0.034108,0.016033
13692,10/31/2019,SCM,0.025187,0.019257
13692,11/29/2019,SCM,0.04425,0.034999
13692,12/31/2019,SCM,-0.001163,0.028489
13692,1/31/2020,SCM,0.009368,-0.001728
13692,2/28/2020,SCM,-0.166786,-0.077918
13692,3/31/2020,SCM,-0.370468,-0.141733
13692,4/30/2020,SCM,0.101509,0.129674
13692,5/29/2020,SCM,0.002491,0.053739
13692,6/30/2020,SCM,-0.095652,0.025299
13692,7/31/2020,SCM,0.097527,0.055531
13692,8/31/2020,SCM,0.059432,0.068442
13692,9/30/2020,SCM,0.091463,-0.035056
13692,10/30/2020,SCM,-0.051724,-0.020178
13692,11/30/2020,SCM,0.347879,0.123707
13692,12/31/2020,SCM,0.006295,0.045048
13692,1/29/2021,SCM,-0.046572,-0.000631
13692,2/26/2021,SCM,0.139291,0.029196
13692,3/31/2021,SCM,0.098222,0.030573
13692,4/30/2021,SCM,0.056953,0.04819
13692,5/28/2021,SCM,-0.00425,0.007092
13692,6/30/2021,SCM,-0.039901,0.023422
13692,7/30/2021,SCM,0.034948,0.011828
13692,8/31/2021,SCM,0.009281,0.027146
13692,9/30/2021,SCM,0.016216,-0.042243
13692,10/29/2021,SCM,0.072228,0.064651
13692,11/30/2021,SCM,-0.04074,-0.01835
13692,12/31/2021,SCM,-0.010317,0.033341
13692,1/31/2022,SCM,0.050177,-0.059822
13692,2/28/2022,SCM,-0.016694,-0.021838
13692,3/31/2022,SCM,0.057651,0.030506
13692,4/29/2022,SCM,-0.008402,-0.089387
13692,5/31/2022,SCM,-0.062716,-0.002108
13692,6/30/2022,SCM,-0.114003,-0.084
13692,7/29/2022,SCM,0.212336,0.090352
13692,8/31/2022,SCM,0.018931,-0.03624
13692,9/30/2022,SCM,-0.112016,-0.091324
13692,10/31/2022,SCM,0.121819,0.077403
13692,11/30/2022,SCM,0.032653,0.052365
13692,12/30/2022,SCM,-0.015946,-0.057116
13856,1/31/2018,PEP,0.003169,0.050638
13856,2/28/2018,PEP,-0.087864,-0.039481
13856,3/29/2018,PEP,0.00205,-0.018445
13856,4/30/2018,PEP,-0.075218,0.004692
13856,5/31/2018,PEP,0.002353,0.026164
13856,6/29/2018,PEP,0.085985,0.005365
13856,7/31/2018,PEP,0.056306,0.031604
13856,8/31/2018,PEP,-0.026,0.030233
13856,9/28/2018,PEP,0.006406,0.000425
13856,10/31/2018,PEP,0.005188,-0.074045
13856,11/30/2018,PEP,0.085069,0.018512
13856,12/31/2018,PEP,-0.086374,-0.08989
13856,1/31/2019,PEP,0.019823,0.088294
13856,2/28/2019,PEP,0.034592,0.032724
13856,3/29/2019,PEP,0.059754,0.012962
13856,4/30/2019,PEP,0.04488,0.037893
13856,5/31/2019,PEP,-0.00039,-0.061679
13856,6/28/2019,PEP,0.031914,0.067279
13856,7/31/2019,PEP,-0.025318,0.011854
13856,8/30/2019,PEP,0.069791,-0.020339
13856,9/30/2019,PEP,0.009691,0.016033
13856,10/31/2019,PEP,0.000511,0.019257
13856,11/29/2019,PEP,-0.009769,0.034999
13856,12/31/2019,PEP,0.013215,0.028489
13856,1/31/2020,PEP,0.039145,-0.001728
13856,2/28/2020,PEP,-0.070342,-0.077918
13856,3/31/2020,PEP,-0.083125,-0.141733
13856,4/30/2020,PEP,0.101499,0.129674
13856,5/29/2020,PEP,-0.005594,0.053739
13856,6/30/2020,PEP,0.01317,0.025299
13856,7/31/2020,PEP,0.040829,0.055531
13856,8/31/2020,PEP,0.017434,0.068442
13856,9/30/2020,PEP,-0.003124,-0.035056
13856,10/30/2020,PEP,-0.038312,-0.020178
13856,11/30/2020,PEP,0.082077,0.123707
13856,12/31/2020,PEP,0.035308,0.045048
13856,1/29/2021,PEP,-0.079096,-0.000631
13856,2/26/2021,PEP,-0.054038,0.029196
13856,3/31/2021,PEP,0.102814,0.030573
13856,4/30/2021,PEP,0.019159,0.04819
13856,5/28/2021,PEP,0.026221,0.007092
13856,6/30/2021,PEP,0.008821,0.023422
13856,7/30/2021,PEP,0.059256,0.011828
13856,8/31/2021,PEP,-0.003568,0.027146
13856,9/30/2021,PEP,-0.031364,-0.042243
13856,10/29/2021,PEP,0.074397,0.064651
13856,11/30/2021,PEP,-0.011262,-0.01835
13856,12/31/2021,PEP,0.09391,0.033341
13856,1/31/2022,PEP,-0.001094,-0.059822
13856,2/28/2022,PEP,-0.056362,-0.021838
13856,3/31/2022,PEP,0.028796,0.030506
13856,4/29/2022,PEP,0.025869,-0.089387
13856,5/31/2022,PEP,-0.023062,-0.002108
13856,6/30/2022,PEP,0.000358,-0.084
13856,7/29/2022,PEP,0.049802,0.090352
13856,8/31/2022,PEP,-0.015375,-0.03624
13856,9/30/2022,PEP,-0.045626,-0.091324
13856,10/31/2022,PEP,0.112214,0.077403
13856,11/30/2022,PEP,0.021643,0.052365
13856,12/30/2022,PEP,-0.019945,-0.057116
14008,1/31/2018,AMGN,0.069868,0.050638
14008,2/28/2018,AMGN,-0.00516,-0.039481
14008,3/29/2018,AMGN,-0.072319,-0.018445
14008,4/30/2018,AMGN,0.023463,0.004692
14008,5/31/2018,AMGN,0.037024,0.026164
14008,6/29/2018,AMGN,0.02767,0.005365
14008,7/31/2018,AMGN,0.064792,0.031604
14008,8/31/2018,AMGN,0.023302,0.030233
14008,9/28/2018,AMGN,0.037436,0.000425
14008,10/31/2018,AMGN,-0.06995,-0.074045
14008,11/30/2018,AMGN,0.087038,0.018512
14008,12/31/2018,AMGN,-0.06521,-0.08989
14008,1/31/2019,AMGN,-0.038835,0.088294
14008,2/28/2019,AMGN,0.023622,0.032724
14008,3/29/2019,AMGN,-0.000526,0.012962
14008,4/30/2019,AMGN,-0.056111,0.037893
14008,5/31/2019,AMGN,-0.062291,-0.061679
14008,6/28/2019,AMGN,0.105459,0.067279
14008,7/31/2019,AMGN,0.012481,0.011854
14008,8/30/2019,AMGN,0.125898,-0.020339
14008,9/30/2019,AMGN,-0.072428,0.016033
14008,10/31/2019,AMGN,0.10201,0.019257
14008,11/29/2019,AMGN,0.107479,0.034999
14008,12/31/2019,AMGN,0.027054,0.028489
14008,1/31/2020,AMGN,-0.103787,-0.001728
14008,2/28/2020,AMGN,-0.068132,-0.077918
14008,3/31/2020,AMGN,0.01502,-0.141733
14008,4/30/2020,AMGN,0.179993,0.129674
14008,5/29/2020,AMGN,-0.033108,0.053739
14008,6/30/2020,AMGN,0.026818,0.025299
14008,7/31/2020,AMGN,0.037353,0.055531
14008,8/31/2020,AMGN,0.041893,0.068442
14008,9/30/2020,AMGN,0.003316,-0.035056
14008,10/30/2020,AMGN,-0.146443,-0.020178
14008,11/30/2020,AMGN,0.030884,0.123707
14008,12/31/2020,AMGN,0.035489,0.045048
14008,1/29/2021,AMGN,0.050061,-0.000631
14008,2/26/2021,AMGN,-0.061094,0.029196
14008,3/31/2021,AMGN,0.106216,0.030573
14008,4/30/2021,AMGN,-0.036855,0.04819
14008,5/28/2021,AMGN,0.00025,0.007092
14008,6/30/2021,AMGN,0.024418,0.023422
14008,7/30/2021,AMGN,-0.009067,0.011828
14008,8/31/2021,AMGN,-0.058996,0.027146
