GE
MSFT
BP
C
PG
WMT
PFE
HBC
TM
JNJ
BAC
AIG
TOT
NVS
MO
GSK
MTU
JPM
CVX
SNY
VOD
IBM
E
CSCO
UBS
WFC
T
KO
CHL
PEP
DNA
AMGN
STD
HPQ
GOOG
HD
WB
SI
NOK
UNH
TWX
QCOM
ING
FITB
VE
CSG
PGR
INFY
ADM
HCA
EOG
SYK
PKX
CFC
STT
SYMC
BROM
AIB
BBD
MRVL
SHLD
DTV
TS
ACN
ALA
MHP
SCHW
SPI
SYY
PNC
SCM
CB
AMD
MCO
SPG
AMZN
IR
CBS
TLS
LTR
GENZ
RIN
TELN
LVS
FD
AL
STJ
CHT
BSX
FUJIY
XTO
K
ACE
HUN
PH
CMA
SAN
CLX
AUC
INS
MIK
URBN
ATYT
FAF
AXS
CDWC
CC
AMB
EQT
TMIC
IPS
CRM
LAF
NVR
PCW
CSB
STU
REG
SIAL
CTL
EP
BXP
CIN
EOC
SNV
EEM
CHIR
MIR
MEDI
RYAAY
HAN
JBL
ZION
EXPE
IVX
SRA
FSH
AMTD
ABK
FISV
NBL
CNA
COL
UPL
CINF
VAR
HTX
ENI
SID
MCHP
CHS
SHPGY
EXPD
ESV
LEN
AAA
PDCO
RDN
